/cmlscratch/xliu1231/anaconda3/lib/python3.7/site-packages/torch/distributed/launch.py:186: FutureWarning: The module torch.distributed.launch is deprecated
and will be removed in future. Use torchrun.
Note that --use_env is set by default in torchrun.
If your script expects `--local_rank` argument to be set, please
change it to read from `os.environ['LOCAL_RANK']` instead. See 
https://pytorch.org/docs/stable/distributed.html#launch-utility for 
further instructions

  FutureWarning,
WARNING:torch.distributed.run:
*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
model: vae
dataset: CelebA
batch size is 128
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.

Warning:  apex was installed without --cpp_ext.  Falling back to Python flatten and unflatten.
# of training samples:  50688
Epoch: [1][290/396]	Time 0.059 (0.065)	Speed 8615.035 (7933.855)	Loss 0.16475 (0.1808)	
Epoch: [1][300/396]	Time 0.065 (0.065)	Speed 7926.903 (7933.623)	Loss 0.16513 (0.1803)	
Epoch: [1][310/396]	Time 0.062 (0.064)	Speed 8229.657 (7942.840)	Loss 0.16352 (0.1797)	
Epoch: [1][320/396]	Time 0.072 (0.065)	Speed 7159.400 (7915.771)	Loss 0.16390 (0.1792)	
Epoch: [1][330/396]	Time 0.055 (0.064)	Speed 9291.804 (7951.454)	Loss 0.16438 (0.1788)	
Epoch: [1][340/396]	Time 0.072 (0.065)	Speed 7145.776 (7925.173)	Loss 0.16437 (0.1784)	
Epoch: [1][350/396]	Time 0.057 (0.064)	Speed 8978.938 (7951.836)	Loss 0.16248 (0.1779)	
Epoch: [1][360/396]	Time 0.069 (0.065)	Speed 7428.485 (7936.305)	Loss 0.15637 (0.1773)	
Epoch: [1][370/396]	Time 0.054 (0.064)	Speed 9521.402 (7972.175)	Loss 0.16458 (0.1770)	
Epoch: [1][380/396]	Time 0.072 (0.064)	Speed 7160.315 (7948.458)	Loss 0.15804 (0.1765)	
Epoch: [1][390/396]	Time 0.051 (0.064)	Speed 10000.273 (7990.496)	Loss 0.15709 (0.1760)	
[Training] Epoch:1 total_time: 25.254
Epoch: [2][10/396]	Time 0.095 (0.095)	Speed 5389.095 (5389.095)	Loss 0.15906 (0.1591)	
Epoch: [2][20/396]	Time 0.079 (0.087)	Speed 6485.060 (5886.500)	Loss 0.15707 (0.1581)	
Epoch: [2][30/396]	Time 0.058 (0.077)	Speed 8880.541 (6631.795)	Loss 0.15739 (0.1578)	
Epoch: [2][40/396]	Time 0.073 (0.076)	Speed 7001.659 (6720.548)	Loss 0.16002 (0.1584)	
Epoch: [2][50/396]	Time 0.055 (0.072)	Speed 9375.836 (7124.063)	Loss 0.15572 (0.1579)	
Epoch: [2][60/396]	Time 0.073 (0.072)	Speed 6980.883 (7099.793)	Loss 0.16199 (0.1585)	
Epoch: [2][70/396]	Time 0.053 (0.069)	Speed 9614.506 (7375.373)	Loss 0.15208 (0.1576)	
Epoch: [2][80/396]	Time 0.068 (0.069)	Speed 7501.049 (7390.852)	Loss 0.15058 (0.1567)	
Epoch: [2][90/396]	Time 0.059 (0.068)	Speed 8649.910 (7512.349)	Loss 0.15552 (0.1566)	
Epoch: [2][100/396]	Time 0.070 (0.068)	Speed 7286.232 (7489.108)	Loss 0.15298 (0.1562)	
Epoch: [2][110/396]	Time 0.057 (0.067)	Speed 8955.091 (7602.246)	Loss 0.15603 (0.1562)	
Epoch: [2][120/396]	Time 0.075 (0.068)	Speed 6803.189 (7528.558)	Loss 0.15443 (0.1561)	
Epoch: [2][130/396]	Time 0.054 (0.067)	Speed 9508.649 (7651.118)	Loss 0.15340 (0.1559)	
Epoch: [2][140/396]	Time 0.079 (0.068)	Speed 6521.575 (7557.619)	Loss 0.15085 (0.1555)	
Epoch: [2][150/396]	Time 0.056 (0.067)	Speed 9078.162 (7642.962)	Loss 0.15541 (0.1555)	
Epoch: [2][160/396]	Time 0.080 (0.068)	Speed 6415.781 (7552.672)	Loss 0.15166 (0.1553)	
Epoch: [2][170/396]	Time 0.057 (0.067)	Speed 8929.038 (7621.782)	Loss 0.15120 (0.1550)	
Epoch: [2][180/396]	Time 0.079 (0.068)	Speed 6491.724 (7548.778)	Loss 0.14937 (0.1547)	
Epoch: [2][190/396]	Time 0.059 (0.067)	Speed 8635.311 (7599.102)	Loss 0.14849 (0.1544)	
Epoch: [2][200/396]	Time 0.076 (0.068)	Speed 6761.064 (7552.296)	Loss 0.14864 (0.1541)	
Epoch: [2][210/396]	Time 0.057 (0.067)	Speed 8982.390 (7609.991)	Loss 0.15026 (0.1539)	
Epoch: [2][220/396]	Time 0.078 (0.068)	Speed 6585.735 (7556.571)	Loss 0.15344 (0.1539)	
Epoch: [2][230/396]	Time 0.059 (0.067)	Speed 8685.215 (7599.508)	Loss 0.15202 (0.1538)	
Epoch: [2][240/396]	Time 0.080 (0.068)	Speed 6411.896 (7541.308)	Loss 0.15175 (0.1537)	
Epoch: [2][250/396]	Time 0.057 (0.067)	Speed 8948.173 (7589.035)	Loss 0.14625 (0.1534)	
Epoch: [2][260/396]	Time 0.080 (0.068)	Speed 6400.838 (7535.236)	Loss 0.14701 (0.1532)	
Epoch: [2][270/396]	Time 0.054 (0.067)	Speed 9499.748 (7593.395)	Loss 0.14631 (0.1529)	
Epoch: [2][280/396]	Time 0.081 (0.068)	Speed 6317.015 (7538.992)	Loss 0.15160 (0.1529)	
Epoch: [2][290/396]	Time 0.061 (0.068)	Speed 8331.133 (7563.791)	Loss 0.15147 (0.1528)	
Epoch: [2][300/396]	Time 0.077 (0.068)	Speed 6619.167 (7527.980)	Loss 0.15012 (0.1527)	
Epoch: [2][310/396]	Time 0.057 (0.068)	Speed 8938.805 (7566.504)	Loss 0.14848 (0.1526)	
Epoch: [2][320/396]	Time 0.079 (0.068)	Speed 6478.890 (7527.017)	Loss 0.14994 (0.1525)	
Epoch: [2][330/396]	Time 0.055 (0.068)	Speed 9383.841 (7572.423)	Loss 0.14709 (0.1524)	
Epoch: [2][340/396]	Time 0.077 (0.068)	Speed 6646.904 (7541.538)	Loss 0.14728 (0.1522)	
Epoch: [2][350/396]	Time 0.055 (0.068)	Speed 9260.598 (7581.750)	Loss 0.14676 (0.1520)	
Epoch: [2][360/396]	Time 0.077 (0.068)	Speed 6638.471 (7551.942)	Loss 0.14156 (0.1518)	
Epoch: [2][370/396]	Time 0.057 (0.068)	Speed 8930.067 (7583.573)	Loss 0.14627 (0.1516)	
Epoch: [2][380/396]	Time 0.076 (0.068)	Speed 6747.288 (7558.918)	Loss 0.14555 (0.1514)	
Epoch: [2][390/396]	Time 0.053 (0.067)	Speed 9645.261 (7601.076)	Loss 0.14745 (0.1513)	
[Training] Epoch:2 total_time: 26.533
Epoch: [3][10/396]	Time 0.097 (0.097)	Speed 5290.020 (5290.020)	Loss 0.14848 (0.1485)	
Epoch: [3][20/396]	Time 0.072 (0.084)	Speed 7148.428 (6080.393)	Loss 0.14759 (0.1480)	
Epoch: [3][30/396]	Time 0.057 (0.075)	Speed 9047.663 (6826.686)	Loss 0.14697 (0.1477)	
Epoch: [3][40/396]	Time 0.070 (0.074)	Speed 7266.191 (6931.501)	Loss 0.14726 (0.1476)	
Epoch: [3][50/396]	Time 0.057 (0.070)	Speed 9039.414 (7270.589)	Loss 0.14285 (0.1466)	
Epoch: [3][60/396]	Time 0.076 (0.071)	Speed 6754.591 (7179.183)	Loss 0.14176 (0.1458)	
Epoch: [3][70/396]	Time 0.054 (0.069)	Speed 9570.015 (7444.886)	Loss 0.14082 (0.1451)	
Epoch: [3][80/396]	Time 0.075 (0.070)	Speed 6822.719 (7360.980)	Loss 0.14268 (0.1448)	
Epoch: [3][90/396]	Time 0.053 (0.068)	Speed 9617.555 (7558.018)	Loss 0.14327 (0.1446)	
Epoch: [3][100/396]	Time 0.073 (0.068)	Speed 7048.714 (7503.800)	Loss 0.14415 (0.1446)	
Epoch: [3][110/396]	Time 0.055 (0.067)	Speed 9325.529 (7639.469)	Loss 0.14107 (0.1443)	
Epoch: [3][120/396]	Time 0.074 (0.068)	Speed 6899.049 (7571.751)	Loss 0.14280 (0.1441)	
Epoch: [3][130/396]	Time 0.057 (0.067)	Speed 9028.720 (7666.921)	Loss 0.14496 (0.1442)	
Epoch: [3][140/396]	Time 0.073 (0.067)	Speed 6983.923 (7613.736)	Loss 0.14144 (0.1440)	
Epoch: [3][150/396]	Time 0.055 (0.066)	Speed 9292.825 (7706.568)	Loss 0.13992 (0.1437)	
Epoch: [3][160/396]	Time 0.070 (0.067)	Speed 7285.066 (7678.800)	Loss 0.14344 (0.1437)	
Epoch: [3][170/396]	Time 0.053 (0.066)	Speed 9695.028 (7773.900)	Loss 0.14282 (0.1437)	
Epoch: [3][180/396]	Time 0.070 (0.066)	Speed 7300.123 (7745.971)	Loss 0.14382 (0.1437)	
Epoch: [3][190/396]	Time 0.051 (0.065)	Speed 10053.673 (7840.694)	Loss 0.14056 (0.1435)	
Epoch: [3][200/396]	Time 0.069 (0.066)	Speed 7384.402 (7816.545)	Loss 0.14242 (0.1435)	
Epoch: [3][210/396]	Time 0.054 (0.065)	Speed 9411.115 (7880.124)	Loss 0.14364 (0.1435)	
Epoch: [3][220/396]	Time 0.070 (0.065)	Speed 7282.405 (7850.834)	Loss 0.13888 (0.1433)	
Epoch: [3][230/396]	Time 0.055 (0.065)	Speed 9376.773 (7906.779)	Loss 0.14341 (0.1433)	
Epoch: [3][240/396]	Time 0.075 (0.065)	Speed 6814.207 (7854.306)	Loss 0.13856 (0.1431)	
Epoch: [3][250/396]	Time 0.053 (0.065)	Speed 9706.865 (7914.727)	Loss 0.14362 (0.1431)	
Epoch: [3][260/396]	Time 0.074 (0.065)	Speed 6950.021 (7872.697)	Loss 0.14404 (0.1431)	
Epoch: [3][270/396]	Time 0.058 (0.065)	Speed 8901.808 (7906.551)	Loss 0.14129 (0.1431)	
Epoch: [3][280/396]	Time 0.070 (0.065)	Speed 7359.780 (7885.628)	Loss 0.14019 (0.1430)	
Epoch: [3][290/396]	Time 0.061 (0.065)	Speed 8432.083 (7903.290)	Loss 0.14278 (0.1429)	
Epoch: [3][300/396]	Time 0.071 (0.065)	Speed 7163.929 (7876.194)	Loss 0.14022 (0.1429)	
Epoch: [3][310/396]	Time 0.058 (0.065)	Speed 8896.383 (7905.438)	Loss 0.14928 (0.1431)	
Epoch: [3][320/396]	Time 0.074 (0.065)	Speed 6956.629 (7871.887)	Loss 0.13965 (0.1430)	
Epoch: [3][330/396]	Time 0.054 (0.065)	Speed 9494.326 (7912.862)	Loss 0.14078 (0.1429)	
Epoch: [3][340/396]	Time 0.074 (0.065)	Speed 6953.323 (7880.876)	Loss 0.14008 (0.1428)	
Epoch: [3][350/396]	Time 0.055 (0.065)	Speed 9238.706 (7914.109)	Loss 0.14052 (0.1427)	
Epoch: [3][360/396]	Time 0.074 (0.065)	Speed 6877.179 (7881.100)	Loss 0.14053 (0.1427)	
Epoch: [3][370/396]	Time 0.055 (0.065)	Speed 9281.956 (7913.379)	Loss 0.14146 (0.1426)	
Epoch: [3][380/396]	Time 0.072 (0.065)	Speed 7098.448 (7889.543)	Loss 0.13816 (0.1425)	
Epoch: [3][390/396]	Time 0.054 (0.065)	Speed 9469.662 (7923.444)	Loss 0.13486 (0.1423)	
[Training] Epoch:3 total_time: 25.477
Epoch: [4][10/396]	Time 0.096 (0.096)	Speed 5314.751 (5314.751)	Loss 0.14223 (0.1422)	
Epoch: [4][20/396]	Time 0.076 (0.086)	Speed 6728.321 (5938.576)	Loss 0.14230 (0.1423)	
Epoch: [4][30/396]	Time 0.056 (0.076)	Speed 9075.561 (6711.904)	Loss 0.13880 (0.1411)	
Epoch: [4][40/396]	Time 0.073 (0.076)	Speed 6970.331 (6774.697)	Loss 0.14020 (0.1409)	
Epoch: [4][50/396]	Time 0.053 (0.071)	Speed 9604.732 (7198.930)	Loss 0.13872 (0.1405)	
Epoch: [4][60/396]	Time 0.074 (0.072)	Speed 6908.077 (7148.766)	Loss 0.13854 (0.1401)	
Epoch: [4][70/396]	Time 0.054 (0.069)	Speed 9502.493 (7411.005)	Loss 0.14443 (0.1407)	
Epoch: [4][80/396]	Time 0.072 (0.069)	Speed 7131.150 (7374.828)	Loss 0.14096 (0.1408)	
Epoch: [4][90/396]	Time 0.055 (0.068)	Speed 9289.746 (7547.697)	Loss 0.13667 (0.1403)	
Epoch: [4][100/396]	Time 0.068 (0.068)	Speed 7505.538 (7543.460)	Loss 0.14164 (0.1404)	
Epoch: [4][110/396]	Time 0.063 (0.067)	Speed 8126.374 (7592.974)	Loss 0.13898 (0.1403)	
Epoch: [4][120/396]	Time 0.064 (0.067)	Speed 7968.766 (7622.931)	Loss 0.13653 (0.1400)	
Epoch: [4][130/396]	Time 0.060 (0.067)	Speed 8546.321 (7686.817)	Loss 0.13607 (0.1397)	
Epoch: [4][140/396]	Time 0.074 (0.067)	Speed 6957.240 (7629.668)	Loss 0.14539 (0.1401)	
Epoch: [4][150/396]	Time 0.058 (0.066)	Speed 8858.741 (7700.897)	Loss 0.13753 (0.1399)	
Epoch: [4][160/396]	Time 0.069 (0.067)	Speed 7392.332 (7680.859)	Loss 0.13706 (0.1398)	
Epoch: [4][170/396]	Time 0.056 (0.066)	Speed 9064.516 (7750.451)	Loss 0.14017 (0.1398)	
Epoch: [4][180/396]	Time 0.070 (0.066)	Speed 7296.063 (7723.728)	Loss 0.13802 (0.1397)	
Epoch: [4][190/396]	Time 0.055 (0.066)	Speed 9272.118 (7792.215)	Loss 0.14107 (0.1398)	
Epoch: [4][200/396]	Time 0.072 (0.066)	Speed 7091.531 (7753.908)	Loss 0.14156 (0.1398)	
Epoch: [4][210/396]	Time 0.056 (0.066)	Speed 9195.770 (7812.238)	Loss 0.14219 (0.1400)	
Epoch: [4][220/396]	Time 0.069 (0.066)	Speed 7452.400 (7795.130)	Loss 0.13757 (0.1398)	
Epoch: [4][230/396]	Time 0.054 (0.065)	Speed 9402.054 (7853.489)	Loss 0.13927 (0.1398)	
Epoch: [4][240/396]	Time 0.072 (0.065)	Speed 7081.328 (7817.968)	Loss 0.14226 (0.1399)	
Epoch: [4][250/396]	Time 0.054 (0.065)	Speed 9435.810 (7871.957)	Loss 0.13787 (0.1398)	
Epoch: [4][260/396]	Time 0.069 (0.065)	Speed 7405.016 (7852.911)	Loss 0.13862 (0.1398)	
Epoch: [4][270/396]	Time 0.060 (0.065)	Speed 8526.051 (7875.941)	Loss 0.14079 (0.1398)	
Epoch: [4][280/396]	Time 0.069 (0.065)	Speed 7373.902 (7856.837)	Loss 0.13902 (0.1398)	
Epoch: [4][290/396]	Time 0.054 (0.065)	Speed 9554.130 (7905.264)	Loss 0.13884 (0.1398)	
Epoch: [4][300/396]	Time 0.077 (0.065)	Speed 6625.600 (7854.695)	Loss 0.13705 (0.1397)	
Epoch: [4][310/396]	Time 0.057 (0.065)	Speed 9006.711 (7887.238)	Loss 0.13432 (0.1395)	
Epoch: [4][320/396]	Time 0.066 (0.065)	Speed 7705.177 (7881.419)	Loss 0.13702 (0.1394)	
Epoch: [4][330/396]	Time 0.061 (0.065)	Speed 8442.306 (7897.318)	Loss 0.13485 (0.1393)	
Epoch: [4][340/396]	Time 0.067 (0.065)	Speed 7588.220 (7887.868)	Loss 0.13848 (0.1393)	
Epoch: [4][350/396]	Time 0.063 (0.065)	Speed 8132.747 (7894.660)	Loss 0.13463 (0.1391)	
Epoch: [4][360/396]	Time 0.065 (0.065)	Speed 7859.883 (7893.689)	Loss 0.13941 (0.1391)	
Epoch: [4][370/396]	Time 0.064 (0.065)	Speed 8041.883 (7897.623)	Loss 0.13778 (0.1391)	
Epoch: [4][380/396]	Time 0.069 (0.065)	Speed 7383.922 (7883.190)	Loss 0.13909 (0.1391)	
Epoch: [4][390/396]	Time 0.054 (0.065)	Speed 9484.162 (7917.460)	Loss 0.13901 (0.1391)	
[Training] Epoch:4 total_time: 25.492
Epoch: [5][10/396]	Time 0.094 (0.094)	Speed 5445.457 (5445.457)	Loss 0.13200 (0.1320)	
Epoch: [5][20/396]	Time 0.078 (0.086)	Speed 6564.924 (5953.019)	Loss 0.13566 (0.1338)	
Epoch: [5][30/396]	Time 0.056 (0.076)	Speed 9199.083 (6746.569)	Loss 0.13946 (0.1357)	
Epoch: [5][40/396]	Time 0.074 (0.076)	Speed 6881.042 (6779.692)	Loss 0.13698 (0.1360)	
Epoch: [5][50/396]	Time 0.051 (0.071)	Speed 9972.924 (7243.555)	Loss 0.13409 (0.1356)	
Epoch: [5][60/396]	Time 0.075 (0.071)	Speed 6864.729 (7177.540)	Loss 0.14013 (0.1364)	
Epoch: [5][70/396]	Time 0.054 (0.069)	Speed 9435.121 (7431.566)	Loss 0.13419 (0.1361)	
Epoch: [5][80/396]	Time 0.071 (0.069)	Speed 7259.456 (7409.607)	Loss 0.13336 (0.1357)	
Epoch: [5][90/396]	Time 0.061 (0.068)	Speed 8368.742 (7505.181)	Loss 0.13691 (0.1359)	
Epoch: [5][100/396]	Time 0.066 (0.068)	Speed 7770.439 (7530.889)	Loss 0.13619 (0.1359)	
Epoch: [5][110/396]	Time 0.058 (0.067)	Speed 8841.609 (7633.768)	Loss 0.13821 (0.1361)	
Epoch: [5][120/396]	Time 0.066 (0.067)	Speed 7739.851 (7642.497)	Loss 0.13934 (0.1364)	
Epoch: [5][130/396]	Time 0.058 (0.066)	Speed 8855.683 (7723.892)	Loss 0.13700 (0.1364)	
Epoch: [5][140/396]	Time 0.067 (0.066)	Speed 7643.305 (7718.079)	Loss 0.13898 (0.1366)	
Epoch: [5][150/396]	Time 0.054 (0.066)	Speed 9397.347 (7811.134)	Loss 0.13507 (0.1365)	
Epoch: [5][160/396]	Time 0.071 (0.066)	Speed 7255.870 (7773.952)	Loss 0.13722 (0.1365)	
Epoch: [5][170/396]	Time 0.055 (0.065)	Speed 9236.894 (7847.059)	Loss 0.13393 (0.1364)	
